...1,libido,pseudo,anxiety,age,cognition,time,userID,other,motivation,mood,permanent_favorite_noot,gender,focus
325,Not at all a reason,default,Not at all a reason,50,"Yes, a minor reason",1642316701.8789833,86218297,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
326,Not at all a reason,default,"Yes, a minor reason",36,"Yes, a major reason",1638293188.0246494,15445525,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
327,Not at all a reason,default,Not at all a reason,24,"Yes, a major reason",1638294595.2709925,89571898,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a major reason"
328,NA,default,Not at all a reason,45,"Yes, a minor reason",1638237252.3034337,17976522,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
329,Not at all a reason,default,Not at all a reason,23,Not at all a reason,1642306103.841909,74050801,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
330,Not at all a reason,default,"Yes, a minor reason",34,Not at all a reason,1642359118.8879976,61338179,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
331,NA,default,"Yes, a major reason",31,"Yes, a major reason",1638240259.7649512,1215993,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
332,Not at all a reason,default,"Yes, a major reason",29,"Yes, a minor reason",1639145912.711833,22309432,NA,Not at all a reason,"Yes, a major reason",NA,Female,Not at all a reason
333,Not at all a reason,default,"Yes, a major reason",24,"Yes, a major reason",1638397046.2346363,45268564,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
334,Not at all a reason,default,Not at all a reason,47,"Yes, a minor reason",1642333319.5389922,83656615,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
335,NA,default,Not at all a reason,43,"Yes, a major reason",1638266873.8038182,22571784,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
336,NA,default,Not at all a reason,30,"Yes, a minor reason",1638244844.7828295,81614692,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
337,NA,default,"Yes, a major reason",45,Not at all a reason,1638227377.9868195,78251112,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
338,Not at all a reason,default,"Yes, a minor reason",25,"Yes, a major reason",1639236220.7249577,81185198,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
339,"Yes, a minor reason",default,"Yes, a major reason",30,"Yes, a major reason",1642338498.903726,15144595,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
340,NA,default,"Yes, a major reason",39,"Yes, a minor reason",1638255562.98883,64261288,NA,Not at all a reason,"Yes, a minor reason",NA,Male,"Yes, a major reason"
341,Not at all a reason,default,"Yes, a major reason",24,Not at all a reason,1640315733.3213542,72299003,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
342,Not at all a reason,default,Not at all a reason,32,Not at all a reason,1642342690.30953,40748370,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a minor reason"
343,"Yes, a minor reason",default,"Yes, a minor reason",39,"Yes, a minor reason",1642361016.7612512,34108257,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
344,NA,default,Not at all a reason,32,Not at all a reason,1637854259.3334725,54355146,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
345,"Yes, a minor reason",default,"Yes, a minor reason",0,"Yes, a major reason",1638277371.9424205,74336115,NA,"Yes, a minor reason","Yes, a minor reason",NA,-,"Yes, a major reason"
346,Not at all a reason,default,"Yes, a minor reason",25,"Yes, a major reason",1642313424.4582336,83077430,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
347,Not at all a reason,default,Not at all a reason,29,Not at all a reason,1642308901.9715948,74263841,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
348,Not at all a reason,default,Not at all a reason,25,"Yes, a major reason",1639558914.895677,18194779,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
349,"Yes, a minor reason",default,"Yes, a major reason",25,"Yes, a major reason",1638295632.651842,25648381,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
350,Not at all a reason,default,"Yes, a minor reason",24,"Yes, a major reason",1642319763.7891097,61434785,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
351,NA,default,Not at all a reason,0,Not at all a reason,1637692439.4470468,75990144,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
352,Not at all a reason,default,Not at all a reason,42,"Yes, a minor reason",1642338570.1611266,8773405,NA,"Yes, a minor reason",Not at all a reason,NA,Female,"Yes, a minor reason"
353,NA,default,"Yes, a minor reason",48,"Yes, a major reason",1638225642.4819157,30461508,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a minor reason"
354,"Yes, a major reason",default,Not at all a reason,27,"Yes, a major reason",1642314287.4893525,3847606,NA,"Yes, a major reason",Not at all a reason,NA,Male,Not at all a reason
355,"Yes, a minor reason",default,Not at all a reason,21,"Yes, a major reason",1638882872.716492,34264567,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
356,NA,default,"Yes, a minor reason",25,"Yes, a major reason",1638259273.191147,34469037,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
357,Not at all a reason,default,"Yes, a major reason",22,"Yes, a minor reason",1638275933.2967052,60194811,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a major reason"
358,Not at all a reason,default,"Yes, a major reason",29,Not at all a reason,1642297358.9976614,34470320,NA,Not at all a reason,"Yes, a minor reason",NA,Male,"Yes, a minor reason"
359,NA,default,Not at all a reason,0,Not at all a reason,1637577481.267602,51290853,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
360,NA,default,"Yes, a major reason",24,"Yes, a major reason",1638245729.959028,48731152,NA,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a major reason"
361,"Yes, a minor reason",default,"Yes, a minor reason",0,"Yes, a minor reason",1642298803.035803,42817109,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a major reason"
362,Not at all a reason,default,Not at all a reason,34,"Yes, a minor reason",1642379857.5394726,86506518,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
363,Not at all a reason,default,"Yes, a minor reason",35,Not at all a reason,1642293817.69058,30884231,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a minor reason"
364,Not at all a reason,default,Not at all a reason,22,"Yes, a major reason",1642341379.8046916,76656322,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
365,"Yes, a minor reason",default,"Yes, a minor reason",28,"Yes, a minor reason",1642310918.553187,14190676,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
366,Not at all a reason,default,Not at all a reason,24,"Yes, a major reason",1638290494.9496732,68949881,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
367,NA,default,"Yes, a minor reason",41,"Yes, a major reason",1638266133.5218456,53351213,NA,"Yes, a major reason","Yes, a major reason",NA,Other,"Yes, a major reason"
368,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638834493.1448395,16421609,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
369,Not at all a reason,default,Not at all a reason,19,"Yes, a major reason",1638291071.932885,58386162,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
370,Not at all a reason,default,"Yes, a minor reason",26,"Yes, a major reason",1638277297.7776556,44772705,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
371,Not at all a reason,default,"Yes, a minor reason",30,"Yes, a major reason",1642333661.680128,95749663,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
372,Not at all a reason,default,"Yes, a minor reason",43,"Yes, a major reason",1642479113.5264697,92489933,Brain health,Not at all a reason,"Yes, a major reason",Matcha,Male,"Yes, a major reason"
373,Not at all a reason,default,Not at all a reason,26,"Yes, a minor reason",1642331792.0018425,42015260,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
374,"Yes, a minor reason",default,Not at all a reason,22,"Yes, a major reason",1638302475.1173425,59913407,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
375,Not at all a reason,default,Not at all a reason,45,Not at all a reason,1642309075.1724198,35226533,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a minor reason"
376,NA,default,"Yes, a major reason",24,"Yes, a major reason",1638261201.8443222,8537260,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
377,"Yes, a minor reason",default,"Yes, a major reason",25,Not at all a reason,1642348810.1204789,61240752,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
378,Not at all a reason,default,"Yes, a minor reason",35,"Yes, a minor reason",1638286771.391166,91909930,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
379,NA,default,"Yes, a major reason",20,"Yes, a major reason",1638235668.6762283,44350082,NA,"Yes, a major reason","Yes, a major reason",NA,Other,"Yes, a major reason"
380,Not at all a reason,default,"Yes, a major reason",27,Not at all a reason,1642335120.5933578,34476672,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
381,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638982684.2429304,31636269,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
382,Not at all a reason,default,"Yes, a minor reason",16,"Yes, a major reason",1638319990.4083524,84471340,Avoid brain deterioration,"Yes, a minor reason","Yes, a minor reason",Having a routine,Male,"Yes, a major reason"
383,Not at all a reason,default,"Yes, a minor reason",25,"Yes, a major reason",1642337601.6449382,65320513,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
384,Not at all a reason,default,"Yes, a major reason",22,"Yes, a minor reason",1638282616.195613,72566416,Muscle growth,"Yes, a minor reason","Yes, a major reason",fermented garlic extract,Male,"Yes, a major reason"
385,NA,default,Not at all a reason,30,"Yes, a major reason",1638259197.4172554,26672537,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
386,"Yes, a minor reason",default,"Yes, a minor reason",29,"Yes, a minor reason",1642310457.2726054,30114877,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
387,NA,default,Not at all a reason,41,"Yes, a minor reason",1638251320.7892797,45503799,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
388,Not at all a reason,default,Not at all a reason,25,Not at all a reason,1642381538.1232169,18649125,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
389,NA,default,"Yes, a minor reason",33,"Yes, a minor reason",1638268055.0629735,96571474,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
390,"Yes, a minor reason",default,"Yes, a minor reason",25,"Yes, a minor reason",1638564713.0161269,21358732,NA,"Yes, a major reason","Yes, a major reason",Muscimol,Male,"Yes, a minor reason"
391,Not at all a reason,default,Not at all a reason,22,"Yes, a minor reason",1642333037.8139486,78834436,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
392,NA,default,"Yes, a major reason",26,"Yes, a major reason",1638224388.6801407,30949521,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
393,Not at all a reason,default,"Yes, a minor reason",28,"Yes, a major reason",1642306296.5019245,90936993,depression,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
394,"Yes, a minor reason",default,Not at all a reason,37,"Yes, a minor reason",1638292489.030462,51760124,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
395,Not at all a reason,default,Not at all a reason,30,Not at all a reason,1642306950.7588434,20019178,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
396,Not at all a reason,default,"Yes, a major reason",21,"Yes, a minor reason",1638289806.2836645,28055098,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
397,NA,default,"Yes, a major reason",28,"Yes, a minor reason",1638255058.634392,60677360,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
398,NA,default,"Yes, a minor reason",0,"Yes, a major reason",1638258333.8092525,979720,NA,"Yes, a major reason","Yes, a major reason",NA,-,"Yes, a major reason"
399,Not at all a reason,default,"Yes, a major reason",40,"Yes, a minor reason",1638291330.7110815,69351075,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a minor reason"
400,Not at all a reason,default,"Yes, a minor reason",30,"Yes, a minor reason",1642309387.2707007,43671621,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
401,"Yes, a major reason",default,"Yes, a major reason",37,"Yes, a major reason",1638540339.3623772,72248525,NA,"Yes, a major reason","Yes, a major reason",Tianeptine,Male,"Yes, a major reason"
402,NA,default,"Yes, a major reason",23,"Yes, a major reason",1638268376.0364397,58357719,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
403,Not at all a reason,default,Not at all a reason,27,"Yes, a major reason",1642395366.1209571,32786456,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
404,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642285426.867173,16421609,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
405,Not at all a reason,default,"Yes, a minor reason",18,"Yes, a major reason",1638275387.29737,78159640,NA,Not at all a reason,"Yes, a major reason",NA,Male,"Yes, a major reason"
406,NA,default,"Yes, a major reason",33,Not at all a reason,1638257799.1360085,21794756,NA,Not at all a reason,"Yes, a minor reason",NA,Female,Not at all a reason
407,NA,default,"Yes, a major reason",0,"Yes, a major reason",1638239099.1193588,59012166,NA,"Yes, a minor reason","Yes, a minor reason",NA,-,"Yes, a major reason"
408,Not at all a reason,default,Not at all a reason,26,"Yes, a minor reason",1642314897.992743,70498162,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a minor reason"
409,Not at all a reason,default,"Yes, a minor reason",22,"Yes, a major reason",1642367134.7225034,60944917,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
410,Not at all a reason,default,Not at all a reason,22,Not at all a reason,1638299308.760417,78657420,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
411,Not at all a reason,default,Not at all a reason,27,"Yes, a minor reason",1642323031.6061711,45152922,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
412,Not at all a reason,default,Not at all a reason,30,Not at all a reason,1638627767.4424896,9082645,NA,Not at all a reason,Not at all a reason,NA,Female,Not at all a reason
413,Not at all a reason,default,"Yes, a major reason",60,Not at all a reason,1642332989.0119095,47642982,fun,Not at all a reason,"Yes, a minor reason",NA,Male,Not at all a reason
414,"Yes, a major reason",default,"Yes, a major reason",34,"Yes, a major reason",1642366957.905448,99087979,NA,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a major reason"
415,Not at all a reason,default,Not at all a reason,25,Not at all a reason,1642292846.3399217,30754715,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
416,NA,default,Not at all a reason,0,Not at all a reason,1638223238.0981717,29098788,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
417,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1642372573.3200722,80961067,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
418,"Yes, a minor reason",default,"Yes, a major reason",29,"Yes, a major reason",1638307790.2384837,67280890,NA,"Yes, a major reason","Yes, a minor reason",Methylene Blue,Male,"Yes, a major reason"
419,NA,default,"Yes, a minor reason",28,"Yes, a major reason",1638267714.8580282,87353595,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
420,"Yes, a major reason",default,"Yes, a major reason",32,"Yes, a minor reason",1642308560.4250925,26013026,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
421,Not at all a reason,default,Not at all a reason,30,"Yes, a major reason",1642348360.9284115,25605778,NA,"Yes, a minor reason","Yes, a minor reason",NA,Other,"Yes, a major reason"
422,NA,default,"Yes, a minor reason",35,Not at all a reason,1637851756.3411586,29470037,NA,Not at all a reason,Not at all a reason,TIUY,-,Not at all a reason
423,Not at all a reason,default,Not at all a reason,25,"Yes, a minor reason",1640137674.9090168,64926014,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
424,Not at all a reason,default,Not at all a reason,28,"Yes, a minor reason",1642319333.5509598,2451734,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
425,NA,default,Not at all a reason,13,Not at all a reason,1637599606.2858958,51290853,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
426,NA,default,Not at all a reason,0,Not at all a reason,1637683169.576469,91601450,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
427,Not at all a reason,default,Not at all a reason,25,Not at all a reason,1642328429.6575613,31507880,NA,"Yes, a minor reason","Yes, a major reason",NA,Male,Not at all a reason
428,NA,default,Not at all a reason,24,Not at all a reason,1638248241.8661282,73094240,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
429,Not at all a reason,default,"Yes, a minor reason",19,"Yes, a major reason",1639492203.386646,99918785,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
430,NA,default,Not at all a reason,25,Not at all a reason,1638248193.1847568,96080349,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a major reason"
431,Not at all a reason,default,"Yes, a major reason",0,"Yes, a major reason",1638299320.0322342,38609794,Sleep quality,"Yes, a major reason","Yes, a major reason",NA,-,"Yes, a major reason"
432,Not at all a reason,default,"Yes, a major reason",21,Not at all a reason,1642310710.7329926,31432534,NA,Not at all a reason,"Yes, a major reason",Tongkat ali,Male,"Yes, a minor reason"
433,NA,default,"Yes, a minor reason",27,"Yes, a major reason",1638261323.845724,85929425,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
434,NA,default,"Yes, a minor reason",24,"Yes, a major reason",1638247125.2986925,16910528,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
435,Not at all a reason,default,"Yes, a major reason",22,"Yes, a major reason",1638300891.2241704,80967374,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
436,NA,default,"Yes, a minor reason",24,"Yes, a major reason",1638226419.0898576,11731695,NA,Not at all a reason,"Yes, a minor reason",NA,Male,"Yes, a major reason"
437,"Yes, a minor reason",default,"Yes, a major reason",23,"Yes, a major reason",1642352778.4933045,23499808,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
438,Not at all a reason,default,Not at all a reason,30,"Yes, a major reason",1638277708.975158,71889007,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
439,Not at all a reason,default,Not at all a reason,48,"Yes, a minor reason",1638280824.9872668,57622522,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
440,Not at all a reason,default,"Yes, a minor reason",0,"Yes, a minor reason",1642295673.0772357,24280858,NA,"Yes, a minor reason","Yes, a minor reason",NA,-,"Yes, a major reason"
441,Not at all a reason,default,Not at all a reason,30,Not at all a reason,1642311482.5203102,88843925,NA,"Yes, a minor reason",Not at all a reason,NA,Male,Not at all a reason
442,"Yes, a minor reason",default,Not at all a reason,29,"Yes, a major reason",1642357604.4429824,78594521,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
443,NA,default,"Yes, a major reason",21,"Yes, a major reason",1638253125.858404,6256308,NA,"Yes, a major reason","Yes, a major reason",EGCG,Male,"Yes, a major reason"
444,"Yes, a minor reason",default,"Yes, a minor reason",32,"Yes, a major reason",1642310630.055741,86501496,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
445,"Yes, a major reason",default,Not at all a reason,30,"Yes, a minor reason",1642354311.3436232,61862920,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
446,Not at all a reason,default,Not at all a reason,25,"Yes, a minor reason",1642342742.2815304,69762597,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
447,NA,default,"Yes, a minor reason",34,"Yes, a major reason",1638245077.2880373,79361358,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
448,Not at all a reason,default,"Yes, a minor reason",24,"Yes, a minor reason",1642293634.831143,92994073,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
449,Not at all a reason,default,"Yes, a major reason",27,"Yes, a minor reason",1638314946.227792,77997725,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
450,Not at all a reason,default,Not at all a reason,30,"Yes, a major reason",1642316799.969404,83498385,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
451,NA,default,Not at all a reason,25,Not at all a reason,1638239061.493739,49099300,NA,Not at all a reason,Not at all a reason,NA,Female,Not at all a reason
452,Not at all a reason,default,"Yes, a minor reason",33,"Yes, a minor reason",1642336245.2604094,29823909,NA,"Yes, a minor reason","Yes, a minor reason",NA,Female,"Yes, a minor reason"
453,"Yes, a minor reason",default,Not at all a reason,46,"Yes, a major reason",1642296375.6475694,15149056,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
454,Not at all a reason,default,"Yes, a major reason",23,"Yes, a major reason",1638384472.0625918,55991175,NA,Not at all a reason,"Yes, a major reason",NA,Male,"Yes, a major reason"
455,Not at all a reason,default,"Yes, a minor reason",26,"Yes, a minor reason",1642348586.2456656,40363751,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
456,NA,default,Not at all a reason,31,"Yes, a major reason",1638235281.383738,26294647,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
457,Not at all a reason,default,"Yes, a major reason",21,"Yes, a major reason",1640214671.056258,56473057,NA,"Yes, a major reason","Yes, a major reason",NA,Male,Not at all a reason
458,NA,default,"Yes, a minor reason",31,"Yes, a minor reason",1638242200.755717,31864418,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
459,"Yes, a minor reason",default,Not at all a reason,0,"Yes, a major reason",1639064671.7750869,8266220,NA,"Yes, a major reason","Yes, a minor reason",NA,-,"Yes, a minor reason"
460,"Yes, a major reason",default,"Yes, a minor reason",26,"Yes, a major reason",1638288325.448423,98716294,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
461,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1639507989.939939,47391948,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
462,NA,default,"Yes, a minor reason",24,"Yes, a major reason",1638247814.6904976,57730418,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
463,Not at all a reason,default,Not at all a reason,44,Not at all a reason,1642352612.5386026,16792379,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,Not at all a reason
464,NA,default,Not at all a reason,32,Not at all a reason,1638227497.238233,79426505,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
465,Not at all a reason,default,"Yes, a major reason",28,"Yes, a major reason",1638368965.628982,37079623,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
466,Not at all a reason,default,Not at all a reason,29,"Yes, a major reason",1642323430.402143,71644379,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
467,"Yes, a major reason",default,"Yes, a minor reason",28,"Yes, a major reason",1638399288.003061,23174936,NA,"Yes, a major reason","Yes, a major reason",Vitamin d3,Male,"Yes, a major reason"
468,NA,default,Not at all a reason,0,Not at all a reason,1637599556.432601,51290853,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
469,Not at all a reason,default,Not at all a reason,21,Not at all a reason,1642353416.2744534,19206398,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
470,Not at all a reason,default,Not at all a reason,30,"Yes, a major reason",1638743716.505727,42925942,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
471,Not at all a reason,default,Not at all a reason,20,"Yes, a major reason",1642311750.8606927,65694254,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a minor reason"
472,"Yes, a major reason",default,"Yes, a major reason",59,"Yes, a minor reason",1638287261.826517,58406099,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
473,NA,default,Not at all a reason,0,Not at all a reason,1637683713.0624938,91601450,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
474,Not at all a reason,default,Not at all a reason,32,"Yes, a minor reason",1642302872.24024,90137535,NA,"Yes, a major reason",Not at all a reason,NA,Other,"Yes, a major reason"
475,Not at all a reason,default,Not at all a reason,25,"Yes, a major reason",1638427463.4072871,80435360,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
476,Not at all a reason,default,"Yes, a major reason",0,"Yes, a major reason",1642310536.9386508,2696370,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a major reason"
477,Not at all a reason,default,Not at all a reason,0,Not at all a reason,1638533231.9736238,55017117,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
478,Not at all a reason,default,Not at all a reason,35,"Yes, a major reason",1642379085.0182624,90498794,NA,"Yes, a minor reason",Not at all a reason,NA,Male,"Yes, a minor reason"
479,Not at all a reason,default,"Yes, a major reason",19,Not at all a reason,1638328993.9153888,53713609,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
480,Not at all a reason,default,Not at all a reason,29,"Yes, a minor reason",1642318625.2557127,20585090,NA,"Yes, a major reason",Not at all a reason,NA,Male,"Yes, a major reason"
481,NA,default,"Yes, a minor reason",0,"Yes, a minor reason",1638239815.8088198,666753,NA,"Yes, a minor reason","Yes, a minor reason",NA,-,"Yes, a minor reason"
482,Not at all a reason,default,Not at all a reason,33,Not at all a reason,1642302805.8806126,79779313,NA,Not at all a reason,Not at all a reason,NA,Male,Not at all a reason
483,Not at all a reason,default,"Yes, a major reason",46,"Yes, a minor reason",1642009895.6736543,73703414,Depression/stress,"Yes, a major reason","Yes, a major reason",NA,Female,"Yes, a minor reason"
484,Not at all a reason,default,Not at all a reason,22,"Yes, a major reason",1642307047.847382,71951641,NA,"Yes, a minor reason","Yes, a minor reason",NA,Male,"Yes, a minor reason"
485,NA,default,"Yes, a minor reason",25,Not at all a reason,1638226805.1623192,17476872,NA,"Yes, a major reason","Yes, a minor reason",NA,Male,"Yes, a major reason"
486,NA,default,"Yes, a minor reason",26,"Yes, a major reason",1638261648.148306,99575271,NA,"Yes, a major reason","Yes, a major reason",NA,Male,"Yes, a minor reason"
487,Not at all a reason,default,"Yes, a minor reason",0,"Yes, a minor reason",1642305443.8479347,50284395,NA,"Yes, a minor reason","Yes, a minor reason",NA,-,"Yes, a minor reason"
488,Not at all a reason,default,Not at all a reason,45,Not at all a reason,1642309019.1930504,35226533,NA,Not at all a reason,Not at all a reason,NA,Male,"Yes, a minor reason"
489,"Yes, a major reason",default,Not at all a reason,20,Not at all a reason,1638296201.1150572,36684047,NA,"Yes, a minor reason",Not at all a reason,NA,Male,Not at all a reason
490,NA,default,Not at all a reason,0,Not at all a reason,1637599549.433174,51290853,NA,Not at all a reason,Not at all a reason,NA,-,Not at all a reason
491,Not at all a reason,default,"Yes, a major reason",0,Not at all a reason,1642304423.1692295,69944299,NA,"Yes, a major reason","Yes, a minor reason",NA,-,"Yes, a major reason"
