,libido,pseudo,anxiety,age,cognition,time,userID,other,motivation,mood,permanent_favorite_noot,gender,focus,for_anxiety,for_focus,for_mood,for_cognition,for_motivation
400,Not at all a reason,default,"Yes, a minor reason",30.0,"Yes, a minor reason",1642309387.2707007,43671621,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
401,"Yes, a major reason",default,"Yes, a major reason",37.0,"Yes, a major reason",1638540339.3623772,72248525,,"Yes, a major reason","Yes, a major reason",Tianeptine,Male,"Yes, a major reason",,,,,
402,,default,"Yes, a major reason",23.0,"Yes, a major reason",1638268376.0364397,58357719,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
403,Not at all a reason,default,Not at all a reason,27.0,"Yes, a major reason",1642395366.1209571,32786456,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
404,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642285426.867173,16421609,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
405,Not at all a reason,default,"Yes, a minor reason",18.0,"Yes, a major reason",1638275387.29737,78159640,,Not at all a reason,"Yes, a major reason",,Male,"Yes, a major reason",,,,,
406,,default,"Yes, a major reason",33.0,Not at all a reason,1638257799.1360085,21794756,,Not at all a reason,"Yes, a minor reason",,Female,Not at all a reason,,,,,
407,,default,"Yes, a major reason",0.0,"Yes, a major reason",1638239099.1193588,59012166,,"Yes, a minor reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
408,Not at all a reason,default,Not at all a reason,26.0,"Yes, a minor reason",1642314897.992743,70498162,,Not at all a reason,Not at all a reason,,Male,"Yes, a minor reason",,,,,
409,Not at all a reason,default,"Yes, a minor reason",22.0,"Yes, a major reason",1642367134.7225034,60944917,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
410,Not at all a reason,default,Not at all a reason,22.0,Not at all a reason,1638299308.760417,78657420,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
411,Not at all a reason,default,Not at all a reason,27.0,"Yes, a minor reason",1642323031.6061711,45152922,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
412,Not at all a reason,default,Not at all a reason,30.0,Not at all a reason,1638627767.4424896,9082645,,Not at all a reason,Not at all a reason,,Female,Not at all a reason,,,,,
413,Not at all a reason,default,"Yes, a major reason",60.0,Not at all a reason,1642332989.0119097,47642982,fun,Not at all a reason,"Yes, a minor reason",,Male,Not at all a reason,,,,,
414,"Yes, a major reason",default,"Yes, a major reason",34.0,"Yes, a major reason",1642366957.905448,99087979,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
415,Not at all a reason,default,Not at all a reason,25.0,Not at all a reason,1642292846.3399217,30754715,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
416,,default,Not at all a reason,0.0,Not at all a reason,1638223238.0981715,29098788,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
417,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642372573.3200722,80961067,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
418,"Yes, a minor reason",default,"Yes, a major reason",29.0,"Yes, a major reason",1638307790.2384837,67280890,,"Yes, a major reason","Yes, a minor reason",Methylene Blue,Male,"Yes, a major reason",,,,,
419,,default,"Yes, a minor reason",28.0,"Yes, a major reason",1638267714.8580282,87353595,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
420,"Yes, a major reason",default,"Yes, a major reason",32.0,"Yes, a minor reason",1642308560.4250925,26013026,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
421,Not at all a reason,default,Not at all a reason,30.0,"Yes, a major reason",1642348360.9284115,25605778,,"Yes, a minor reason","Yes, a minor reason",,Other,"Yes, a major reason",,,,,
422,,default,"Yes, a minor reason",35.0,Not at all a reason,1637851756.3411586,29470037,,Not at all a reason,Not at all a reason,TIUY,-,Not at all a reason,,,,,
423,Not at all a reason,default,Not at all a reason,25.0,"Yes, a minor reason",1640137674.9090168,64926014,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
424,Not at all a reason,default,Not at all a reason,28.0,"Yes, a minor reason",1642319333.5509598,2451734,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
425,,default,,13.0,,1637599606.2858958,51290853,,,,,-,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
426,,default,,0.0,,1637683169.576469,91601450,,,,,Male,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
427,Not at all a reason,default,Not at all a reason,25.0,Not at all a reason,1642328429.6575613,31507880,,"Yes, a minor reason","Yes, a major reason",,Male,Not at all a reason,,,,,
428,,default,Not at all a reason,24.0,Not at all a reason,1638248241.8661282,73094240,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
429,Not at all a reason,default,"Yes, a minor reason",19.0,"Yes, a major reason",1639492203.386646,99918785,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
430,,default,Not at all a reason,25.0,Not at all a reason,1638248193.1847568,96080349,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
431,Not at all a reason,default,"Yes, a major reason",0.0,"Yes, a major reason",1638299320.0322342,38609794,Sleep quality,"Yes, a major reason","Yes, a major reason",,-,"Yes, a major reason",,,,,
432,Not at all a reason,default,"Yes, a major reason",21.0,Not at all a reason,1642310710.7329926,31432534,,Not at all a reason,"Yes, a major reason",Tongkat ali,Male,"Yes, a minor reason",,,,,
433,,default,"Yes, a minor reason",27.0,"Yes, a major reason",1638261323.845724,85929425,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
434,,default,"Yes, a minor reason",24.0,"Yes, a major reason",1638247125.2986925,16910528,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
435,Not at all a reason,default,"Yes, a major reason",22.0,"Yes, a major reason",1638300891.2241704,80967374,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
436,,default,"Yes, a minor reason",24.0,"Yes, a major reason",1638226419.0898576,11731695,,Not at all a reason,"Yes, a minor reason",,Male,"Yes, a major reason",,,,,
437,"Yes, a minor reason",default,"Yes, a major reason",23.0,"Yes, a major reason",1642352778.4933045,23499808,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
438,Not at all a reason,default,Not at all a reason,30.0,"Yes, a major reason",1638277708.975158,71889007,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
439,Not at all a reason,default,Not at all a reason,48.0,"Yes, a minor reason",1638280824.9872668,57622522,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
440,Not at all a reason,default,"Yes, a minor reason",0.0,"Yes, a minor reason",1642295673.0772355,24280858,,"Yes, a minor reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
441,Not at all a reason,default,Not at all a reason,30.0,Not at all a reason,1642311482.5203102,88843925,,"Yes, a minor reason",Not at all a reason,,Male,Not at all a reason,,,,,
442,"Yes, a minor reason",default,Not at all a reason,29.0,"Yes, a major reason",1642357604.4429824,78594521,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
443,,default,"Yes, a major reason",21.0,"Yes, a major reason",1638253125.858404,6256308,,"Yes, a major reason","Yes, a major reason",EGCG,Male,"Yes, a major reason",,,,,
444,"Yes, a minor reason",default,"Yes, a minor reason",32.0,"Yes, a major reason",1642310630.055741,86501496,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
445,"Yes, a major reason",default,Not at all a reason,30.0,"Yes, a minor reason",1642354311.3436232,61862920,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
446,Not at all a reason,default,Not at all a reason,25.0,"Yes, a minor reason",1642342742.2815304,69762597,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
447,,default,"Yes, a minor reason",34.0,"Yes, a major reason",1638245077.2880373,79361358,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
448,Not at all a reason,default,"Yes, a minor reason",24.0,"Yes, a minor reason",1642293634.8311427,92994073,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
449,Not at all a reason,default,"Yes, a major reason",27.0,"Yes, a minor reason",1638314946.227792,77997725,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
450,Not at all a reason,default,Not at all a reason,30.0,"Yes, a major reason",1642316799.969404,83498385,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
451,,default,Not at all a reason,25.0,Not at all a reason,1638239061.493739,49099300,,Not at all a reason,Not at all a reason,,Female,Not at all a reason,,,,,
452,Not at all a reason,default,"Yes, a minor reason",33.0,"Yes, a minor reason",1642336245.2604094,29823909,,"Yes, a minor reason","Yes, a minor reason",,Female,"Yes, a minor reason",,,,,
453,"Yes, a minor reason",default,Not at all a reason,46.0,"Yes, a major reason",1642296375.6475694,15149056,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
454,Not at all a reason,default,"Yes, a major reason",23.0,"Yes, a major reason",1638384472.0625918,55991175,,Not at all a reason,"Yes, a major reason",,Male,"Yes, a major reason",,,,,
455,Not at all a reason,default,"Yes, a minor reason",26.0,"Yes, a minor reason",1642348586.2456656,40363751,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
456,,default,Not at all a reason,31.0,"Yes, a major reason",1638235281.383738,26294647,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
457,Not at all a reason,default,"Yes, a major reason",21.0,"Yes, a major reason",1640214671.056258,56473057,,"Yes, a major reason","Yes, a major reason",,Male,Not at all a reason,,,,,
458,,default,"Yes, a minor reason",31.0,"Yes, a minor reason",1638242200.755717,31864418,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
459,"Yes, a minor reason",default,Not at all a reason,0.0,"Yes, a major reason",1639064671.7750869,8266220,,"Yes, a major reason","Yes, a minor reason",,-,"Yes, a minor reason",,,,,
460,"Yes, a major reason",default,"Yes, a minor reason",26.0,"Yes, a major reason",1638288325.4484227,98716294,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
461,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1639507989.939939,47391948,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
462,,default,"Yes, a minor reason",24.0,"Yes, a major reason",1638247814.6904976,57730418,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
463,Not at all a reason,default,Not at all a reason,44.0,Not at all a reason,1642352612.5386026,16792379,,"Yes, a minor reason","Yes, a minor reason",,Male,Not at all a reason,,,,,
464,,default,Not at all a reason,32.0,Not at all a reason,1638227497.238233,79426505,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
465,Not at all a reason,default,"Yes, a major reason",28.0,"Yes, a major reason",1638368965.628982,37079623,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
466,Not at all a reason,default,Not at all a reason,29.0,"Yes, a major reason",1642323430.402143,71644379,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
467,"Yes, a major reason",default,"Yes, a minor reason",28.0,"Yes, a major reason",1638399288.003061,23174936,,"Yes, a major reason","Yes, a major reason",Vitamin d3,Male,"Yes, a major reason",,,,,
468,,default,,0.0,,1637599556.432601,51290853,,,,,-,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
469,Not at all a reason,default,Not at all a reason,21.0,Not at all a reason,1642353416.2744534,19206398,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
470,Not at all a reason,default,Not at all a reason,30.0,"Yes, a major reason",1638743716.505727,42925942,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
471,Not at all a reason,default,Not at all a reason,20.0,"Yes, a major reason",1642311750.8606927,65694254,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
472,"Yes, a major reason",default,"Yes, a major reason",59.0,"Yes, a minor reason",1638287261.826517,58406099,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
473,,default,,0.0,,1637683713.0624938,91601450,,,,,-,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
474,Not at all a reason,default,Not at all a reason,32.0,"Yes, a minor reason",1642302872.24024,90137535,,"Yes, a major reason",Not at all a reason,,Other,"Yes, a major reason",,,,,
475,Not at all a reason,default,Not at all a reason,25.0,"Yes, a major reason",1638427463.4072871,80435360,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
476,Not at all a reason,default,"Yes, a major reason",0.0,"Yes, a major reason",1642310536.9386508,2696370,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
477,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638533231.9736238,55017117,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
478,Not at all a reason,default,Not at all a reason,35.0,"Yes, a major reason",1642379085.0182624,90498794,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
479,Not at all a reason,default,"Yes, a major reason",19.0,Not at all a reason,1638328993.9153888,53713609,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
480,Not at all a reason,default,Not at all a reason,29.0,"Yes, a minor reason",1642318625.2557127,20585090,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
481,,default,"Yes, a minor reason",0.0,"Yes, a minor reason",1638239815.8088198,666753,,"Yes, a minor reason","Yes, a minor reason",,-,"Yes, a minor reason",,,,,
482,Not at all a reason,default,Not at all a reason,33.0,Not at all a reason,1642302805.8806126,79779313,,Not at all a reason,Not at all a reason,,Male,Not at all a reason,,,,,
483,Not at all a reason,default,"Yes, a major reason",46.0,"Yes, a minor reason",1642009895.6736543,73703414,Depression/stress,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a minor reason",,,,,
484,Not at all a reason,default,Not at all a reason,22.0,"Yes, a major reason",1642307047.847382,71951641,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
485,,default,"Yes, a minor reason",25.0,Not at all a reason,1638226805.1623192,17476872,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
486,,default,"Yes, a minor reason",26.0,"Yes, a major reason",1638261648.148306,99575271,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
487,Not at all a reason,default,"Yes, a minor reason",0.0,"Yes, a minor reason",1642305443.8479347,50284395,,"Yes, a minor reason","Yes, a minor reason",,-,"Yes, a minor reason",,,,,
488,Not at all a reason,default,Not at all a reason,45.0,Not at all a reason,1642309019.1930504,35226533,,Not at all a reason,Not at all a reason,,Male,"Yes, a minor reason",,,,,
489,"Yes, a major reason",default,Not at all a reason,20.0,Not at all a reason,1638296201.1150572,36684047,,"Yes, a minor reason",Not at all a reason,,Male,Not at all a reason,,,,,
490,,default,,0.0,,1637599549.4331741,51290853,,,,,-,,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason,Not at all a reason
491,Not at all a reason,default,"Yes, a major reason",0.0,Not at all a reason,1642304423.1692297,69944299,,"Yes, a major reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
492,Not at all a reason,default,"Yes, a major reason",42.0,"Yes, a minor reason",1642340164.4989371,71424180,,"Yes, a major reason","Yes, a major reason",Matcha/green tea,Female,"Yes, a major reason",,,,,
493,,default,"Yes, a major reason",0.0,"Yes, a major reason",1638225966.5509753,84545651,,"Yes, a major reason","Yes, a major reason","Meditation is great too, but my favorite nootropic has to be Bacopa because it helps me sleep. Lions mane and Rodeola Rosea make me incredibly focused",-,"Yes, a minor reason",,,,,
494,Not at all a reason,default,Not at all a reason,30.0,"Yes, a major reason",1638482661.2164972,52765740,,Not at all a reason,Not at all a reason,,Male,"Yes, a major reason",,,,,
495,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1642285888.3472998,16421609,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
496,,default,"Yes, a minor reason",31.0,"Yes, a major reason",1638264168.9351692,87457856,,"Yes, a minor reason","Yes, a major reason",Adrifinal ,Male,"Yes, a major reason",,,,,
497,Not at all a reason,default,"Yes, a minor reason",29.0,Not at all a reason,1642309856.2957015,78788676,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
498,Not at all a reason,default,"Yes, a major reason",0.0,"Yes, a major reason",1638305432.7371783,51822903,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
499,,default,"Yes, a major reason",18.0,"Yes, a minor reason",1638250627.5537963,37889965,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
500,Not at all a reason,default,"Yes, a major reason",25.0,"Yes, a major reason",1638299372.279068,63930519,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
501,Not at all a reason,default,"Yes, a major reason",27.0,"Yes, a minor reason",1638451978.1629531,49297163,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
502,"Yes, a major reason",default,"Yes, a major reason",43.0,"Yes, a major reason",1638449145.5486355,51242735,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
503,Not at all a reason,default,Not at all a reason,24.0,"Yes, a major reason",1642434438.5222821,91779994,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
504,"Yes, a major reason",default,"Yes, a minor reason",28.0,Not at all a reason,1642292593.7017157,12015910,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
505,Not at all a reason,default,Not at all a reason,28.0,"Yes, a major reason",1638458923.7160661,41516617,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
506,,default,"Yes, a major reason",25.0,"Yes, a major reason",1638268532.9463117,7231461,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
507,,default,Not at all a reason,0.0,"Yes, a major reason",1638225175.353015,17797735,,"Yes, a major reason","Yes, a minor reason",,-,"Yes, a major reason",,,,,
508,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638290534.9311893,44387700,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
509,Not at all a reason,default,"Yes, a major reason",33.0,"Yes, a minor reason",1642367792.072611,19185817,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
510,Not at all a reason,default,"Yes, a minor reason",28.0,"Yes, a minor reason",1642371074.9399776,47303248,,"Yes, a major reason","Yes, a major reason",Lavender ,Female,"Yes, a major reason",,,,,
511,Not at all a reason,default,"Yes, a minor reason",59.0,Not at all a reason,1642455852.9945776,99618479,,"Yes, a minor reason","Yes, a minor reason",,Female,"Yes, a minor reason",,,,,
512,Not at all a reason,default,"Yes, a major reason",28.0,"Yes, a minor reason",1638278934.1066859,27367715,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
513,Not at all a reason,default,"Yes, a minor reason",19.0,"Yes, a major reason",1638532601.1976552,55428396,,"Yes, a minor reason","Yes, a minor reason",ISRIB,Male,"Yes, a major reason",,,,,
514,"Yes, a major reason",default,"Yes, a minor reason",33.0,"Yes, a major reason",1638938554.9055135,43752624,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
515,Not at all a reason,default,Not at all a reason,47.0,"Yes, a minor reason",1642317813.604386,11230789,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
516,,default,"Yes, a minor reason",27.0,"Yes, a minor reason",1638240269.2710497,98555547,,"Yes, a major reason","Yes, a major reason",Methylphenidate (Concerta),Male,"Yes, a major reason",,,,,
517,,default,Not at all a reason,41.0,"Yes, a minor reason",1638226467.5749648,80401484,,"Yes, a major reason","Yes, a minor reason",,Female,"Yes, a major reason",,,,,
518,Not at all a reason,default,Not at all a reason,22.0,"Yes, a major reason",1638273117.4873736,50579346,,"Yes, a major reason","Yes, a minor reason",Blueberries,Male,"Yes, a major reason",,,,,
519,,default,"Yes, a minor reason",31.0,"Yes, a major reason",1638226551.2454698,58193708,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
520,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638624679.5750318,38700114,,"Yes, a major reason",Not at all a reason,,-,"Yes, a major reason",,,,,
521,,default,"Yes, a major reason",28.0,"Yes, a minor reason",1638265991.4087973,14882616,,"Yes, a major reason","Yes, a minor reason",Phenibut,Male,"Yes, a major reason",,,,,
522,Not at all a reason,default,Not at all a reason,0.0,Not at all a reason,1638328841.6527047,74980049,,Not at all a reason,Not at all a reason,,-,Not at all a reason,,,,,
523,Not at all a reason,default,Not at all a reason,37.0,Not at all a reason,1642335411.982806,53838040,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
524,,default,"Yes, a major reason",23.0,Not at all a reason,1638254688.260293,74176310,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
525,Not at all a reason,default,"Yes, a minor reason",38.0,"Yes, a minor reason",1642345890.0513356,96650044,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
526,Not at all a reason,default,Not at all a reason,27.0,"Yes, a minor reason",1642412682.7874327,92429345,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
527,Not at all a reason,default,"Yes, a major reason",36.0,Not at all a reason,1638278214.4743633,85004191,,Not at all a reason,"Yes, a minor reason",,Male,Not at all a reason,,,,,
528,"Yes, a minor reason",default,"Yes, a major reason",25.0,Not at all a reason,1638291107.5447645,64511059,,Not at all a reason,"Yes, a minor reason",,Male,Not at all a reason,,,,,
529,Not at all a reason,default,Not at all a reason,27.0,Not at all a reason,1639533093.510347,57283196,,Not at all a reason,Not at all a reason,,Male,"Yes, a major reason",,,,,
530,Not at all a reason,default,"Yes, a major reason",31.0,"Yes, a major reason",1638306825.3757818,25030479,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
531,Not at all a reason,default,Not at all a reason,28.0,"Yes, a major reason",1642310517.9735065,92373073,,"Yes, a major reason","Yes, a minor reason",Ketone esters (beta hydroxybutyrate),Female,"Yes, a major reason",,,,,
532,Not at all a reason,default,Not at all a reason,24.0,"Yes, a major reason",1642311336.7516508,24512534,,"Yes, a major reason",Not at all a reason,,Female,"Yes, a major reason",,,,,
533,Not at all a reason,default,"Yes, a minor reason",31.0,"Yes, a major reason",1642311983.1495197,84388456,health/longevity,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
534,,default,"Yes, a major reason",29.0,Not at all a reason,1638269294.0354853,5382324,,"Yes, a major reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
535,"Yes, a major reason",default,Not at all a reason,38.0,"Yes, a minor reason",1642360278.083004,95445365,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
536,,default,"Yes, a major reason",46.0,Not at all a reason,1638245639.5818417,9145015,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a minor reason",,,,,
537,,default,"Yes, a minor reason",25.0,"Yes, a major reason",1638236032.8221872,64556379,,"Yes, a minor reason","Yes, a major reason",,Male,"Yes, a major reason",,,,,
538,"Yes, a major reason",default,"Yes, a major reason",23.0,"Yes, a minor reason",1642292003.4661908,70198377,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
539,Not at all a reason,default,"Yes, a minor reason",31.0,"Yes, a major reason",1642367188.558513,23041710,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
540,Not at all a reason,default,Not at all a reason,0.0,"Yes, a major reason",1642373458.1055095,29071491,,"Yes, a major reason","Yes, a major reason",,-,"Yes, a major reason",,,,,
541,Not at all a reason,default,"Yes, a minor reason",33.0,"Yes, a major reason",1638766219.3024135,76666902,Memory ,"Yes, a minor reason","Yes, a minor reason",NAD,Male,"Yes, a minor reason",,,,,
542,"Yes, a minor reason",default,"Yes, a minor reason",25.0,"Yes, a major reason",1638401017.9846222,57113144,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
543,Not at all a reason,default,"Yes, a minor reason",26.0,"Yes, a major reason",1639586735.5900366,73099906,,Not at all a reason,Not at all a reason,,Male,"Yes, a minor reason",,,,,
544,,default,"Yes, a major reason",24.0,"Yes, a minor reason",1638261376.5600622,58245362,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
545,Not at all a reason,default,"Yes, a minor reason",25.0,Not at all a reason,1640582858.3144522,72107047,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
546,Not at all a reason,default,Not at all a reason,27.0,"Yes, a minor reason",1638733929.5593712,76824517,,"Yes, a major reason","Yes, a minor reason",,Female,"Yes, a major reason",,,,,
547,Not at all a reason,default,Not at all a reason,0.0,"Yes, a major reason",1642307916.0304818,37289211,,"Yes, a major reason","Yes, a minor reason",,-,Not at all a reason,,,,,
548,Not at all a reason,default,Not at all a reason,18.0,"Yes, a major reason",1642378420.4355927,8855407,,"Yes, a major reason","Yes, a minor reason",,Female,"Yes, a major reason",,,,,
549,Not at all a reason,default,"Yes, a minor reason",30.0,"Yes, a major reason",1642304563.09339,50753203,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
550,Not at all a reason,default,Not at all a reason,20.0,"Yes, a major reason",1638298210.5663044,93535111,Purely cognition based. ,Not at all a reason,Not at all a reason,,Male,"Yes, a major reason",,,,,
551,Not at all a reason,default,Not at all a reason,18.0,Not at all a reason,1638476149.5145552,10459932,,"Yes, a major reason",Not at all a reason,,Male,"Yes, a major reason",,,,,
552,"Yes, a minor reason",default,"Yes, a major reason",0.0,"Yes, a major reason",1642375081.7382078,96220611,,"Yes, a major reason","Yes, a major reason",,Female,"Yes, a major reason",,,,,
553,Not at all a reason,default,Not at all a reason,34.0,"Yes, a minor reason",1642297637.024868,77289513,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
554,Not at all a reason,default,Not at all a reason,26.0,"Yes, a minor reason",1642316221.4797792,6388928,,"Yes, a major reason","Yes, a minor reason",Dexamphetamine,Male,"Yes, a major reason",,,,,
555,,default,"Yes, a major reason",24.0,"Yes, a minor reason",1638264804.5203314,58242042,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
556,"Yes, a minor reason",default,"Yes, a minor reason",-23.0,Not at all a reason,1638777369.258602,92094028,,"Yes, a major reason","Yes, a major reason",,Male,Not at all a reason,,,,,
557,,default,Not at all a reason,27.0,"Yes, a major reason",1638265388.299496,86140701,,"Yes, a minor reason","Yes, a minor reason",,Male,"Yes, a minor reason",,,,,
558,Not at all a reason,default,"Yes, a major reason",27.0,Not at all a reason,1642293752.4504516,26531290,,"Yes, a minor reason",Not at all a reason,,Male,"Yes, a minor reason",,,,,
559,,default,"Yes, a minor reason",23.0,"Yes, a major reason",1637861944.4817061,80752411,,"Yes, a major reason","Yes, a minor reason",,Male,"Yes, a major reason",,,,,
560,Not at all a reason,default,Not at all a reason,27.0,"Yes, a minor reason",1642327663.470466,76697305,,Not at all a reason,"Yes, a minor reason",,Female,"Yes, a minor reason",,,,,
